"traditional_text","total_count"
"為什麼",254
"不知道",172
"受害者",118
"pua",116
"是不是",101
"女朋友",95
"大部分",81
"麥當勞",80
"真的是",79
"也沒有",68
"都沒有",68
"中國人",67
"而不是",66
"也不是",64
"沒什麼",63
"不可能",61
"可能是",59
"越來越",59
"在一起",57
"這件事",55
"男女平等",52
"不值得",46
"一個人",43
"不需要",43
"尤其是",42
"差不多",42
"高速公路",42
"有沒有",39
"也可以",38
"第一次",38
"也不會",37
"一部分",36
"主要是",35
"有些人",35
"不平等",34
"每個人",34
"這就是",34
"其實是",32
"女孩子",32
"全世界",31
"自助餐",31
"人民幣",30
"男朋友",30
"萬余元",30
"單方面",29
"我知道",29
"所謂的",29
"男孩子",29
"一定是",28
"也不能",28
"太好了",27
"一直在",26
"價值觀",26
"基本上",26
"都不是",26
"都可以",26
"到底是",25
"就不會",25
"應該是",25
"會不會",25
"肯定是",25
"不會有",24
"不管是",24
"就不是",24
"就應該",24
"成年人",24
"一輩子",23
"年輕人",23
"看起來",23
"重男輕女",23
"不存在",22
"理所當然",22
"能不能",22
"隻不過",22
"不正常",21
"不一定",20
"不至於",19
"世界上",19
"什麼時候",19
"家庭的",19
"不在乎",18
"多少錢",18
"天經地義",18
"沒想到",18
"任何人",17
"垃圾桶",17
"好像是",17
"我認為",17
"男尊女卑",17
"看不到",17
"之所以",16
"也就是",16
"最好的",16
"不公平",15
"說實話",15
"這句話",15
"並不是",14
"有道理",14
"生育率",14
"絕大部分",14
"進一步",14
"還不如",14
"陌生人",14
"atm",13
"動不動",13
"大多數",13
"從頭到尾",13
"想不開",13
"我看到",13
"有時候",13
"經歷過",13
"莫名其妙",13
"一大堆",12
"不喜歡",12
"不得不",12
"並沒有",12
"反過來",12
"可能性",12
"得不到",12
"怎麼說",12
"的確是",12
"解放軍",12
"還是要",12
"一方面",11
"三個月",11
"不平衡",11
"加拿大",11
"可能會",11
"吸血鬼",11
"奢侈品",11
"婚姻法",11
"幾十年",11
"找不到",11
"走出來",11
"隻要是",11
"一分錢",10
"不應該",10
"不然就",10
"共產黨",10
"卻沒有",10
"反而是",10
"各方面",10
"女主角",10
"如果有",10
"對不起",10
"從小就",10
"感受到",10
"我也不",10
"我還是",10
"或者是",10
"根深蒂固",10
"注意力",10
"然後就",10
"老百姓",10
"親密關系",10
"覺得很",10
"說真的",10
"都不會",10
"一天到晚",9
"一定會",9
"一廂情願",9
"不僅僅是",9
"不出來",9
"不合理",9
"事實上",9
"受不了",9
"大學生",9
"好不好",9
"實際上",9
"小伙子",9
"很喜歡",9
"心上人",9
"我不是",9
"當然是",9
"衛生紙",9
"買東西",9
"還可以",9
"都應該",9
"隻看到",9
"靠自己",9
"一件事",8
"一直都",8
"一般人",8
"下輩子",8
"不介意",8
"不健全",8
"交通事故",8
"佔便宜",8
"傳統觀念",8
"公安局",8
"刑事案件",8
"到底有",8
"咎由自取",8
"很簡單",8
"從來沒有",8
"心甘情願",8
"打電話",8
"最主要",8
"沒甚麼",8
"沒辦法",8
"沒關係",8
"無差別",8
"確實是",8
"老一輩",8
"還是會",8
"woman",7
"一句話",7
"一胎化",7
"不愧是",7
"不甘心",7
"主持人",7
"以為是",7
"匪夷所思",7
"十年前",7
"半斤八兩",7
"原來是",7
"同工同酬",7
"大自然",7
"小時候",7
"就算是",7
"干什麼",7
"幾乎是",7
"情有可原",7
"愛不愛",7
"感同身受",7
"搞清楚",7
"整件事",7
"既然是",7
"明明是",7
"未成年",7
"無所謂",7
"當事人",7
"看一下",7
"看不見",7
"聽起來",7
"說話不算數",7
"跳下去",7
"還真是",7
"隻為了",7
"隻要有",7
"隻需要",7
"girl",6
"一回事",6
"下一代",6
"不勞而獲",6
"不完全",6
"不必要",6
"不負責任",6
"不適合",6
"不隻是",6
"九個月",6
"也就是說",6
"人際關係",6
"什麼東西",6
"公信力",6
"受害人",6
"另一方面",6
"可不是",6
"同性戀",6
"回老家",6
"多半是",6
"夜總會",6
"導火索",6
"就不能",6
"層出不窮",6
"已經有",6
"巴勒斯坦",6
"幾萬塊",6
"很可能",6
"怎麼會",6
"才可以",6
"抓起來",6
"既得利益者",6
"有人說",6
"殊不知",6
"比比皆是",6
"民進黨",6
"看不下去",6
"看不出",6
"穆斯林",6
"聯誼會",6
"自私自利",6
"衛生棉",6
"說不定",6
"賠錢貨",6
"跳出來",6
"這幾天",6
"還不是",6
"那句話",6
"都不能",6
"開玩笑",6
"隻不過是",6
"money",5
"一團糟",5
"不健康",5
"不在意",5
"不好意思",5
"不擇手段",5
"不用說",5
"不要臉",5
"主要原因",5
"也會有",5
"以至於",5
"俄羅斯",5
"兄弟們",5
"到處都",5
"十分鐘",5
"十多年",5
"口耳相傳",5
"各取所需",5
"單單是",5
"大規模",5
"女尊男卑",5
"好不容易",5
"少數人",5
"幾十個",5
"幾百塊",5
"心安理得",5
"我不會",5
"或許是",5
"找工作",5
"旁觀者",5
"日本人",5
"每一個人",5
"沒意思",5
"沒關系",5
"涉世未深",5
"潛意識",5
"男主角",5
"看不起",5
"看清楚",5
"社交圈",5
"管不住",5
"腦子裡",5
"舍不得",5
"荷爾蒙",5
"要不然",5
"走下去",5
"這一點",5
"門當戶對",5
"隻剩下",5
"一丁點",4
"一模一樣",4
"一無所有",4
"一盤散沙",4
"一系列",4
"一群人",4
"一見鐘情",4
"一起去",4
"一頓飯",4
"不了了之",4
"不切實際",4
"不安定",4
"不知情",4
"不管怎樣",4
"不願意",4
"了不起",4
"予取予求",4
"事實證明",4
"信用卡",4
"做生意",4
"公權力",4
"再也不",4
"分不清",4
"劣根性",4
"十塊錢",4
"十幾塊",4
"十萬八千裡",4
"可不可以",4
"可以說是",4
"吃軟飯",4
"各付各的",4
"合情合理",4
"同情心",4
"名正言順",4
"大概是",4
"好多人",4
"好幾個",4
"家務事",4
"容不下",4
"實在是",4
"小學生",4
"小心翼翼",4
"小白臉",4
"居高臨下",4
"幾千塊",4
"強力膠",4
"彈盡援絕",4
"很遺憾",4
"從來不",4
"從此以後",4
"怎麼樣",4
"怪不得",4
"恨不得",4
"應該會",4
"懷璧其罪",4
"打籃球",4
"拿出來",4
"持久戰",4
"接觸到",4
"搞不好",4
"新生代",4
"新舊交替",4
"時不時",4
"最好是",4
"月黑風高",4
"有意思",4
"果然是",4
"注意到",4
"活下去",4
"活不下去",4
"無微不至",4
"無意義",4
"犯不著",4
"理智的",4
"理直氣壯",4
"盡可能",4
"相夫教子",4
"短時間",4
"社會風氣",4
"站起來",4
"系統的",4
"自古以來",4
"自怨自艾",4
"自然而然",4
"表面上",4
"被壓迫",4
"說出來",4
"說穿了",4
"諸如此類",4
"資本主義",4
"趨於穩定",4
"輸油管",4
"轉嫁到",4
"辛辛苦苦",4
"遇人不淑",4
"過得去",4
"遠距離",4
"遺留下來",4
"配不上",4
"重要性",4
"金玉良言",4
"青春期",4
"面對現實",4
"頂多是",4
"饑寒交迫",4
"lover",3
"一切都",3
"一對一",3
"一毛錢",3
"一瞬間",3
"三番兩次",3
"不下去",3
"不再是",3
"不出去",3
"不在少數",3
"不太好",3
"不太會",3
"不平等條約",3
"不忍心",3
"不成立",3
"不論是",3
"事故死",3
"人雲亦雲",3
"今天是",3
"似乎是",3
"低收入",3
"來不及",3
"依然是",3
"倒不是",3
"做什麼",3
"兩回事",3
"公共秩序",3
"制高點",3
"十多歲",3
"十幾個",3
"即使是",3
"原住民",3
"另一種",3
"另一邊",3
"可真是",3
"合理化",3
"同工不同酬",3
"吸引力",3
"唯物主義",3
"單身漢",3
"因果報應",3
"坐享其成",3
"坦白說",3
"多方面",3
"大可不必",3
"大富大貴",3
"大錯特錯",3
"女權主義",3
"好朋友",3
"妖魔鬼怪",3
"寄生蟲",3
"實事求是",3
"實際情況",3
"少之又少",3
"少子化",3
"工作室",3
"已達成",3
"年紀輕輕",3
"年齡層",3
"幾句話",3
"弄出來",3
"很可惜",3
"從來沒",3
"從小到大",3
"心目中",3
"怎麼回事",3
"性教育",3
"恐怕會",3
"想不到",3
"想不通",3
"愛情觀",3
"我愛你",3
"或多或少",3
"房地產",3
"手牽手",3
"才不會",3
"才會有",3
"把這兩",3
"拿回來",3
"接下來",3
"新加坡",3
"日久生情",3
"明眼人",3
"易如反掌",3
"曾經有",3
"有句話",3
"有心人士",3
"格式化",3
"條件下",3
"比起來",3
"沉迷於",3
"洗衣服",3
"消費者",3
"清官難斷",3
"為何不",3
"烏克蘭",3
"烏合之眾",3
"烏托邦",3
"烏魯木齊",3
"無欲則剛",3
"無止盡",3
"無疑是",3
"物欲橫流",3
"犯罪行為",3
"獨一無二",3
"甜甜蜜蜜",3
"甜言蜜語",3
"留不住",3
"白開水",3
"百分比",3
"監獄長",3
"目前為止",3
"省吃儉用",3
"看電影",3
"真實性",3
"研究生",3
"究竟是",3
"竟然是",3
"算不上",3
"節假日",3
"簡直是",3
"自知之明",3
"自立自強",3
"自行車",3
"舉例來說",3
"萬有引力",3
"落井下石",3
"視而不見",3
"言論自由",3
"說實在的",3
"說真話",3
"說說看",3
"說起來",3
"談不上",3
"謝謝你",3
"警察局",3
"趕時間",3
"跑出來",3
"退回去",3
"適婚年齡",3
"適當的",3
"避重就輕",3
"還算是",3
"那幾個",3
"那時候",3
"阿美族",3
"隻要能",3
"電動車",3
"青少年",3
"願不願意",3
"首先是",3
"高材生",3
"一個樣",2
"一把手",2
"一擲千金",2
"一會兒",2
"一毛不拔",2
"一而再",2
"一艘船",2
"一語驚醒",2
"一起來",2
"一面之詞",2
"一首歌",2
"丈母娘",2
"上世紀",2
"不一致",2
"不予置評",2
"不以為然",2
"不信任",2
"不值一提",2
"不光是",2
"不可思議",2
"不可抗力",2
"不可收拾",2
"不可理喻",2
"不在家",2
"不得好死",2
"不感興趣",2
"不折不扣",2
"不止是",2
"不正確",2
"不知廉恥",2
"不約而同",2
"不能自拔",2
"不自覺",2
"不見了",2
"世界中",2
"中國大陸",2
"久而久之",2
"也許是",2
"亂七八糟",2
"亂丟垃圾",2
"了解到",2
"五六十歲",2
"五十人",2
"五官端正",2
"享受到",2
"人情世故",2
"人民法院",2
"人財兩失",2
"仍然是",2
"他媽的",2
"仙人跳",2
"以偏概全",2
"以色列",2
"低成本",2
"何況是",2
"你來我往",2
"來龍去脈",2
"依舊是",2
"保險套",2
"偏執狂",2
"停留在",2
"健身房",2
"傳過來",2
"傻小子",2
"傾家蕩產",2
"僅僅是",2
"先入為主",2
"光怪陸離",2
"光明正大",2
"兔死狐悲",2
"兩件事",2
"兩句話",2
"出生率",2
"刑事犯罪",2
"副總裁",2
"劉德華",2
"功利主義",2
"十九歲",2
"反倒是",2
"反而會",2
"受壓迫",2
"受歡迎",2
"口誅筆伐",2
"可信度",2
"可笑的是",2
"吃不上",2
"合法化",2
"同樣是",2
"哥白尼",2
"善有善報",2
"喪心病狂",2
"噓寒問暖",2
"國內外",2
"塑造成",2
"壓下來",2
"多多少少",2
"多少個",2
"大事化小",2
"大千世界",2
"大多是",2
"大道理",2
"大驚小怪",2
"天花板",2
"好幾天",2
"如出一轍",2
"娛樂場所",2
"婚外情",2
"嫁出去",2
"嫁雞隨雞",2
"守規矩",2
"安息吧",2
"完蛋了",2
"害人不淺",2
"寥寥無幾",2
"實質上",2
"對得起",2
"小孩子",2
"小小的",2
"小朋友",2
"尤其在",2
"居然是",2
"屢見不鮮",2
"工程師",2
"市場上",2
"幼稚園",2
"徇私枉法",2
"很大程度上",2
"心地善良",2
"心理學",2
"心生不滿",2
"心知肚明",2
"必需品",2
"志同道合",2
"忙忙碌碌",2
"怎麼辦",2
"恐怕是",2
"恰恰相反",2
"惡有惡報",2
"惦記著",2
"惱羞成怒",2
"想像力",2
"意味著",2
"愛因斯坦",2
"感情用事",2
"感興趣",2
"我也沒",2
"我還沒",2
"我願意",2
"所有權",2
"才算是",2
"打不開",2
"打官司",2
"打抱不平",2
"扣帽子",2
"抱不平",2
"拼了命",2
"指手畫腳",2
"捕風捉影",2
"捨不得",2
"換句話說",2
"放不下",2
"放進去",2
"敢不敢",2
"斤斤計較",2
"新一代",2
"新台幣",2
"暴脾氣",2
"暴露出",2
"更願意",2
"最厲害",2
"最好能",2
"有一套",2
"有意義",2
"有目共睹",2
"有錢人",2
"服兵役",2
"本來是",2
"本末倒置",2
"李自成",2
"欣欣向榮",2
"正義感",2
"每一個",2
"比不上",2
"比如說",2
"民主政治",2
"沒找到",2
"沒道理",2
"洋洋得意",2
"活生生",2
"派出所",2
"消失掉",2
"涉世不深",2
"添油加醋",2
"渥太華",2
"演變成",2
"灰姑娘",2
"為所欲為",2
"烏煙瘴氣",2
"無妄之災",2
"無巧不成書",2
"無期徒刑",2
"無神論",2
"無聲無息",2
"煤氣燈",2
"父母親",2
"牛鬼蛇神",2
"物以類聚",2
"物極必反",2
"狐狸精",2
"玉石俱焚",2
"現階段",2
"甘之如飴",2
"生搬硬套",2
"男男女女",2
"當回事",2
"白吃白喝",2
"百分之百",2
"盜亦有道",2
"看上去",2
"看不慣",2
"看得出",2
"睡來睡去",2
"瞧不起",2
"矯枉過正",2
"研究所",2
"社會學",2
"神經病",2
"笑死人",2
"第三者",2
"第二個",2
"算進去",2
"簡單說",2
"終究是",2
"絆腳石",2
"結論是",2
"絕口不提",2
"總而言之",2
"美其名曰",2
"習以為常",2
"翻天覆地",2
"翻白眼",2
"老人家",2
"老古董",2
"而不能",2
"聯想到",2
"肺腑之言",2
"背地裡",2
"自以為是",2
"自作多情",2
"自欺欺人",2
"至少有",2
"至死不渝",2
"致命傷",2
"花枝招展",2
"萬念俱灰",2
"萬無一失",2
"補償金",2
"見怪不怪",2
"親朋好友",2
"討價還價",2
"說不出",2
"說來說去",2
"諾貝爾",2
"負責人",2
"貨真價實",2
"貪得無厭",2
"貫徹始終",2
"贖罪券",2
"赤裸裸",2
"趕鴨子上架",2
"跳樓自殺",2
"跳河自殺",2
"蹦出來",2
"身分證",2
"輕而易舉",2
"輕鬆自在",2
"轉來轉去",2
"轉嫁給",2
"轟轟烈烈",2
"退一步",2
"退休金",2
"造謠生事",2
"過不去",2
"過生日",2
"道貌岸然",2
"遙遙領先",2
"遮遮掩掩",2
"還沒有",2
"還願意",2
"那件事",2
"都還沒",2
"醍醐灌頂",2
"錦上添花",2
"鑽牛角尖",2
"長幼有序",2
"長篇大論",2
"關鍵字",2
"除此之外",2
"雞皮疙瘩",2
"雪中送炭",2
"電視劇",2
"青梅竹馬",2
"青紅皂白",2
"養不起",2
"骨子裡",2
"體無完膚",2
"體現出",2
"高中生",2
"高談闊論",2
"鬧起來",2
"鮮明對比",2
"黃泉路",2
"點到為止",2
"一下子",1
"一不小心",1
"一丘之貉",1
"一乾二淨",1
"一了百了",1
"一勞永逸",1
"一千塊",1
"一口氣",1
"一問三不知",1
"一堂課",1
"一夕之間",1
"一如既往",1
"一定能",1
"一家之主",1
"一屁股債",1
"一年中",1
"一年半",1
"一念之間",1
"一手遮天",1
"一朝一夕",1
"一朵花",1
"一樣會",1
"一步步",1
"一死了之",1
"一段路",1
"一氣之下",1
"一無所知",1
"一男一女",1
"一番話",1
"一百萬",1
"一目了然",1
"一窩風",1
"一竅不通",1
"一見鍾情",1
"一言以蔽",1
"一連串",1
"一道菜",1
"一陣子",1
"一面倒",1
"一頭撞死",1
"一頭熱",1
"一飽耳福",1
"一點也不",1
"一點兒",1
"一點點",1
"丁字褲",1
"七仙女",1
"七十二變",1
"七年之痒",1
"三不五時",1
"三五成群",1
"三位一體",1
"三分之一",1
"三從四德",1
"三次元",1
"三缺一",1
"三言兩語",1
"上輩子",1
"上進心",1
"下一步",1
"下午茶",1
"下半身",1
"下定決心",1
"下落不明",1
"下雨天",1
"不上不下",1
"不久就",1
"不亦樂乎",1
"不作為",1
"不僅僅",1
"不僅是",1
"不像話",1
"不充分",1
"不入流",1
"不及格",1
"不可或缺",1
"不可磨滅",1
"不可逆",1
"不可避免",1
"不合格",1
"不善於",1
